t,class,wait_h,travel_h,response_h,sla_h,overtime
0.02120758965335456,seasonal,0.0,0.3513634158531591,0.3513634158531591,12.0,0
0.6200108689023824,seasonal,0.0,0.6396923088485589,0.6396923088485589,12.0,0
1.1519730342564334,critical,0.0,0.6599100317467526,0.6599100317467526,2.0,0
6.219249630353571,routine,0.0,0.4353805806418104,0.4353805806418104,24.0,0
5.85055544918735,seasonal,0.0,1.0255029253980703,1.0255029253980703,12.0,0
6.181904809213132,critical,0.0,0.3513634158531591,0.3513634158531591,2.0,0
6.386681643935534,routine,0.0,0.6599100317467526,0.6599100317467526,24.0,0
7.040333569609811,critical,0.0,0.3190807107927397,0.3190807107927397,2.0,0
6.996855805838075,routine,0.0,0.6599100317467526,0.6599100317467526,24.0,0
7.36928916422291,critical,0.0,0.3190807107927397,0.3190807107927397,2.0,0
6.888164889178789,seasonal,0.0,1.0255029253980703,1.0255029253980703,12.0,0
6.959742904859921,routine,0.0,0.7177220910631077,0.7177220910631077,24.0,0
7.2820468364413085,seasonal,0.0,0.668926378609784,0.668926378609784,12.0,0
7.298626401480301,seasonal,0.09063981080359351,0.6396923088485589,0.7303321196521524,12.0,0
8.026894403680307,critical,0.0,0.7177220910631077,0.7177220910631077,2.0,0
7.730786667757103,seasonal,0.13403825093312527,0.7919122426127785,0.9259504935459038,12.0,0
7.372245186025942,seasonal,0.20273657578656312,0.9736079806575129,1.176344556444076,12.0,0
8.104899185805278,emergency,0.0,0.9736079806575129,0.9736079806575129,4.0,0
9.065474001152898,seasonal,0.02702602677528354,0.3513634158531591,0.37838944262844265,12.0,0
8.248586072843988,critical,0.0,0.668926378609784,0.668926378609784,2.0,0
7.635066970787012,routine,1.4196999088581173,0.4353805806418104,1.8550804894999278,24.0,0
8.25762929333032,emergency,0.0,0.9736079806575129,0.9736079806575129,4.0,0
7.2892004678904865,routine,1.6930092681374411,1.0255029253980703,2.7185121935355117,24.0,0
8.06168832801299,seasonal,0.651707758479457,0.9736079806575129,1.62531573913697,12.0,0
7.9453380368953,routine,1.228132011787321,0.3190807107927397,1.5472127225800607,24.0,0
9.674853646493487,critical,0.0,0.6396923088485589,0.6396923088485589,2.0,0
9.486068464179448,seasonal,0.3321030451554545,0.3513634158531591,0.6834664610086136,12.0,0
9.86806876877927,seasonal,0.2869292809036281,0.6396923088485589,0.926621589752187,12.0,0
9.225677031101126,seasonal,0.5586915887219064,0.9736079806575129,1.5322995693794192,12.0,0
9.440809323787134,emergency,0.0,0.9736079806575129,0.9736079806575129,4.0,0
9.888304862750765,critical,0.05013467835283869,0.6396923088485589,0.6898269872013976,2.0,0
8.386480455733336,routine,2.4702315285204275,0.4353805806418104,2.905612109162238,24.0,0
9.585396220682087,seasonal,0.5150464943392272,0.6659438790168433,1.1809903733560705,12.0,0
10.23061949460736,seasonal,0.39786290170362193,0.6599100317467526,1.0577729334503745,12.0,0
10.70791608525861,seasonal,0.10402618750523018,0.6659438790168433,0.7699700665220734,12.0,0
11.00539583604491,critical,0.0,0.6659438790168433,0.6659438790168433,2.0,0
9.342325262236606,routine,2.3207640821732713,0.3190807107927397,2.639844792966011,24.0,0
10.861540105659792,seasonal,0.5898714861231493,0.4353805806418104,1.0252520667649598,12.0,0
11.738196256486068,seasonal,0.23023719058439518,0.3513634158531591,0.5816006064375543,12.0,0
8.450523767936982,routine,3.0491959253723326,0.7177220910631077,3.76691801643544,24.0,0
11.687604262623392,seasonal,0.24343410115536912,0.6599100317467526,0.9033441329021217,12.0,0
9.518415796601442,routine,2.708433095807841,0.4353805806418104,3.1438136764496516,24.0,0
12.48186398988762,seasonal,0.24271470593856748,0.4353805806418104,0.6780952865803779,12.0,0
9.852312825943738,routine,2.5963932263284217,0.6599100317467526,3.2563032580751745,24.0,0
9.85571008021458,routine,3.0273398952168122,0.7919122426127785,3.819252137829591,24.0,0
13.59890436400126,emergency,0.0,0.3513634158531591,0.3513634158531591,4.0,0
9.923331558584165,routine,3.082571041493056,0.6599100317467526,3.7424810732398086,24.0,0
13.561486100402417,critical,0.0,0.3513634158531591,0.3513634158531591,2.0,0
